"","COMP","SEASON","ROUND","LEG","DATE","HOMETEAM","AWAYTEAM","FTHG","FTAG","HTHG","HTAG","ETHG","ETAG","PTHG","PTAG","LEG_ID","TYPE"
"1","UCL","1996-1997","R8","1",1997-03-05,"AFC Ajax","Atlético Madrid",1,1,0,1,NA,NA,NA,NA,1,"ET"
"2","UCL","1996-1997","R8","2",1997-03-19,"Atlético Madrid","AFC Ajax",1,1,1,0,1,1,NA,NA,1,"ET"
"3","UCL","1997-1998","R8","1",1998-03-04,"Bayern München","Borussia Dortmund",0,0,0,0,NA,NA,NA,NA,2,"ET"
"4","UCL","1997-1998","R8","2",1998-03-18,"Borussia Dortmund","Bayern München",0,0,0,0,1,1,NA,NA,2,"ET"
"5","UCL","1999-2000","R8","1",2000-04-05,"Chelsea FC","FC Barcelona",3,1,3,0,NA,NA,NA,NA,3,"ET"
"6","UCL","1999-2000","R8","2",2000-04-18,"FC Barcelona","Chelsea FC",3,1,2,0,2,2,NA,NA,3,"ET"
"7","UCL","2002-2003","R8","1",2003-04-09,"Juventus","FC Barcelona",1,1,1,0,NA,NA,NA,NA,4,"ET"
"8","UCL","2002-2003","R8","2",2003-04-22,"FC Barcelona","Juventus",1,1,0,0,0,0,NA,NA,4,"ET"
"9","UCL","2004-2005","R8","1",2005-04-05,"Olympique Lyon","PSV Eindhoven",1,1,1,0,NA,NA,NA,NA,5,"ET"
"10","UCL","2004-2005","R8","2",2005-04-13,"PSV Eindhoven","Olympique Lyon",1,1,0,1,0,0,4,2,5,"ET"
"11","UCL","2004-2005","R8","1",2005-04-06,"AC Milan","Inter",2,0,1,0,NA,NA,NA,NA,6,"ET"
"12","UCL","2004-2005","R8","2",2005-04-12,"Inter","AC Milan",0,3,0,1,NA,NA,NA,NA,6,"ET"
"13","UCL","2006-2007","R4","1",2007-04-25,"Chelsea FC","Liverpool FC",1,0,1,0,NA,NA,NA,NA,7,"ET"
"14","UCL","2006-2007","R4","2",2007-05-01,"Liverpool FC","Chelsea FC",1,0,1,0,0,0,4,1,7,"ET"
"15","UCL","2007-2008","R16","1",2008-02-19,"FC Schalke 04","FC Porto",1,0,1,0,NA,NA,NA,NA,8,"ET"
"16","UCL","2007-2008","R16","2",2008-03-05,"FC Porto","FC Schalke 04",1,0,0,0,0,0,1,4,8,"ET"
"17","UCL","2007-2008","R16","1",2008-02-20,"Fenerbahçe","Sevilla FC",3,2,1,1,NA,NA,NA,NA,9,"ET"
"18","UCL","2007-2008","R16","2",2008-03-04,"Sevilla FC","Fenerbahçe",3,2,3,1,0,0,2,3,9,"ET"
"19","UCL","2008-2009","R16","1",2009-02-24,"Arsenal FC","AS Roma",1,0,1,0,NA,NA,NA,NA,10,"ET"
"20","UCL","2008-2009","R16","2",2009-03-11,"AS Roma","Arsenal FC",1,0,1,0,0,0,6,7,10,"ET"
"21","UCL","2011-2012","R16","1",2012-02-14,"Olympique Lyon","APOEL Nikosia",1,0,0,0,NA,NA,NA,NA,11,"ET"
"22","UCL","2011-2012","R16","2",2012-03-07,"APOEL Nikosia","Olympique Lyon",1,0,1,0,0,0,4,3,11,"ET"
"23","UCL","2011-2012","R16","1",2012-02-21,"SSC Napoli","Chelsea FC",3,1,2,1,NA,NA,NA,NA,12,"ET"
"24","UCL","2011-2012","R16","2",2012-03-14,"Chelsea FC","SSC Napoli",3,1,1,0,1,1,NA,NA,12,"ET"
"25","UCL","2014-2015","R16","1",2015-02-17,"Paris Saint-Germain","Chelsea FC",1,1,0,1,NA,NA,NA,NA,13,"ET"
"26","UCL","2014-2015","R16","2",2015-03-11,"Chelsea FC","Paris Saint-Germain",1,1,0,0,1,1,NA,NA,13,"ET"
"27","UCL","2014-2015","R16","1",2015-02-25,"Bayer Leverkusen","Atlético Madrid",1,0,0,0,NA,NA,NA,NA,14,"ET"
"28","UCL","2014-2015","R16","2",2015-03-17,"Atlético Madrid","Bayer Leverkusen",1,0,1,0,0,0,3,2,14,"ET"
"29","UCL","2015-2016","R16","1",2016-02-23,"Juventus","Bayern München",2,2,0,1,NA,NA,NA,NA,15,"ET"
"30","UCL","2015-2016","R16","2",2016-03-16,"Bayern München","Juventus",2,2,0,2,2,2,NA,NA,15,"ET"
"31","UCL","2015-2016","R16","1",2016-02-24,"PSV Eindhoven","Atlético Madrid",0,0,0,0,NA,NA,NA,NA,16,"ET"
"32","UCL","2015-2016","R16","2",2016-03-15,"Atlético Madrid","PSV Eindhoven",0,0,0,0,0,0,8,7,16,"ET"
"33","UCL","2018-2019","R16","1",2019-02-12,"AS Roma","FC Porto",2,1,0,0,NA,NA,NA,NA,17,"ET"
