"","HOMETEAM","AWAYTEAM","HG","AG","MINUTE","WS","LEG_ID","GAME_ID"
"1","APOEL Nikosia","Olympique Lyon",1,0,9,"APOEL Nikosia","ET11",22
"2","Chelsea FC","SSC Napoli",1,0,28,"Chelsea FC","ET12",24
"3","Chelsea FC","SSC Napoli",2,0,47,"Chelsea FC","ET12",24
"4","Chelsea FC","SSC Napoli",2,1,55,"SSC Napoli","ET12",24
"5","Chelsea FC","SSC Napoli",3,1,75,"Chelsea FC","ET12",24
"6","Chelsea FC","SSC Napoli",4,1,105,"Chelsea FC","ET12",24
"7","Chelsea FC","Paris Saint-Germain",1,0,81,"Chelsea FC","ET13",26
"8","Chelsea FC","Paris Saint-Germain",1,1,86,"Paris Saint-Germain","ET13",26
"9","Chelsea FC","Paris Saint-Germain",2,1,96,"Chelsea FC","ET13",26
"10","Chelsea FC","Paris Saint-Germain",2,2,114,"Paris Saint-Germain","ET13",26
"11","Atlético Madrid","Bayer Leverkusen",1,0,27,"Atlético Madrid","ET14",28
"12","Bayern München","Juventus",0,1,5,"Juventus","ET15",30
"13","Bayern München","Juventus",0,2,28,"Juventus","ET15",30
"14","Bayern München","Juventus",1,2,73,"Bayern München","ET15",30
"15","Bayern München","Juventus",2,2,90,"Bayern München","ET15",30
"16","Bayern München","Juventus",3,2,108,"Bayern München","ET15",30
"17","Bayern München","Juventus",4,2,110,"Bayern München","ET15",30
"18","FC Porto","AS Roma",1,0,26,"FC Porto","ET17",34
"19","FC Porto","AS Roma",1,1,37,"AS Roma","ET17",34
"20","FC Porto","AS Roma",2,1,52,"FC Porto","ET17",34
"21","FC Porto","AS Roma",3,1,117,"FC Porto","ET17",34
"22","Real Madrid","Bayern München",0,1,53,"Bayern München","ET18",36
"23","Real Madrid","Bayern München",1,1,76,"Real Madrid","ET18",36
"24","Real Madrid","Bayern München",1,2,78,"Bayern München","ET18",36
"25","Real Madrid","Bayern München",2,2,105,"Real Madrid","ET18",36
"26","Real Madrid","Bayern München",3,2,110,"Real Madrid","ET18",36
"27","Real Madrid","Bayern München",4,2,112,"Real Madrid","ET18",36
"28","Chelsea FC","Liverpool FC",1,0,33,"Chelsea FC","ET19",38
"29","Chelsea FC","Liverpool FC",1,1,64,"Liverpool FC","ET19",38
"30","Chelsea FC","Liverpool FC",2,1,98,"Chelsea FC","ET19",38
"31","Chelsea FC","Liverpool FC",3,1,105,"Chelsea FC","ET19",38
"32","Chelsea FC","Liverpool FC",3,2,117,"Liverpool FC","ET19",38
"33","Real Madrid","Bayern München",1,0,6,"Real Madrid","ET20",40
"34","Real Madrid","Bayern München",2,0,14,"Real Madrid","ET20",40
"35","Real Madrid","Bayern München",2,1,27,"Bayern München","ET20",40
"36","Juventus","AFC Ajax",1,0,12,"Juventus","F1",93
"37","Juventus","AFC Ajax",1,1,41,"AFC Ajax","F1",93
"38","Bayern München","Valencia CF",0,1,3,"Valencia CF","F2",94
"39","Bayern München","Valencia CF",1,1,51,"Bayern München","F2",94
"40","Liverpool FC","AC Milan",0,1,1,"AC Milan","F4",96
"41","Liverpool FC","AC Milan",0,2,39,"AC Milan","F4",96
"42","Liverpool FC","AC Milan",0,3,44,"AC Milan","F4",96
"43","Liverpool FC","AC Milan",1,3,54,"Liverpool FC","F4",96
"44","Liverpool FC","AC Milan",2,3,56,"Liverpool FC","F4",96
"45","Liverpool FC","AC Milan",3,3,60,"Liverpool FC","F4",96
"46","Manchester United","Chelsea FC",1,0,26,"Manchester United","F5",97
"47","Manchester United","Chelsea FC",1,1,45,"Chelsea FC","F5",97
"48","Bayern München","Chelsea FC",1,0,83,"Bayern München","F6",98
"49","Bayern München","Chelsea FC",1,1,88,"Chelsea FC","F6",98
"50","Real Madrid","Atlético Madrid",0,1,36,"Atlético Madrid","F7",99
"51","Real Madrid","Atlético Madrid",1,1,90,"Real Madrid","F7",99
"52","Real Madrid","Atlético Madrid",2,1,110,"Real Madrid","F7",99
"53","Real Madrid","Atlético Madrid",3,1,118,"Real Madrid","F7",99
"54","Real Madrid","Atlético Madrid",4,1,120,"Real Madrid","F7",99
"55","Real Madrid","Atlético Madrid",1,0,15,"Real Madrid","F8",100
"56","Real Madrid","Atlético Madrid",1,1,79,"Atlético Madrid","F8",100
