"","COMP","SEASON","ROUND","TEAM1","TEAM2","WINNER","L1D","L2D","TYPE","LEG_ID","T1G","T2G","G1_ID","G2_ID"
"1","UCL","1996-1997","R8","AFC Ajax","Atlético Madrid","AFC Ajax",1997-03-05,1997-03-19,"ET","ET1",4,3,1,2
"2","UCL","1997-1998","R8","Bayern München","Borussia Dortmund","Borussia Dortmund",1998-03-04,1998-03-18,"ET","ET2",0,1,3,4
"3","UCL","1999-2000","R8","Chelsea FC","FC Barcelona","FC Barcelona",2000-04-05,2000-04-18,"ET","ET3",4,6,5,6
"4","UCL","2002-2003","R8","Juventus","FC Barcelona","Juventus",2003-04-09,2003-04-22,"ET","ET4",3,2,7,8
"5","UCL","2004-2005","R8","Olympique Lyon","PSV Eindhoven","PSV Eindhoven",2005-04-05,2005-04-13,"ET","ET5",4,6,9,10
"6","UCL","2004-2005","R8","AC Milan","Inter","AC Milan",2005-04-06,2005-04-12,"ET","ET6",5,0,11,12
"7","UCL","2006-2007","R4","Chelsea FC","Liverpool FC","Liverpool FC",2007-04-25,2007-05-01,"ET","ET7",2,5,13,14
"8","UCL","2007-2008","R16","FC Schalke 04","FC Porto","FC Schalke 04",2008-02-19,2008-03-05,"ET","ET8",5,2,15,16
"9","UCL","2007-2008","R16","Fenerbahçe","Sevilla FC","Fenerbahçe",2008-02-20,2008-03-04,"ET","ET9",8,7,17,18
"10","UCL","2008-2009","R16","Arsenal FC","AS Roma","Arsenal FC",2009-02-24,2009-03-11,"ET","ET10",8,7,19,20
"11","UCL","2011-2012","R16","Olympique Lyon","APOEL Nikosia","APOEL Nikosia",2012-02-14,2012-03-07,"ET","ET11",4,5,21,22
"12","UCL","2011-2012","R16","SSC Napoli","Chelsea FC","Chelsea FC",2012-02-21,2012-03-14,"ET","ET12",4,5,23,24
"13","UCL","2014-2015","R16","Paris Saint-Germain","Chelsea FC","Chelsea FC",2015-02-17,2015-03-11,"ET","ET13",3,3,25,26
"14","UCL","2014-2015","R16","Bayer Leverkusen","Atlético Madrid","Atlético Madrid",2015-02-25,2015-03-17,"ET","ET14",3,4,27,28
"15","UCL","2015-2016","R16","Juventus","Bayern München","Bayern München",2016-02-23,2016-03-16,"ET","ET15",4,6,29,30
"16","UCL","2015-2016","R16","PSV Eindhoven","Atlético Madrid","Atlético Madrid",2016-02-24,2016-03-15,"ET","ET16",7,8,31,32
"17","UCL","2018-2019","R16","AS Roma","FC Porto","FC Porto",2019-02-12,2019-03-06,"ET","ET17",3,4,33,34
"18","UCL","2016-2017","R8","Bayern München","Real Madrid","Real Madrid",2017-04-12,2017-04-18,"ET","ET18",3,6,35,36
"19","UCL","2007-2008","R4","Liverpool FC","Chelsea FC","Chelsea FC",2008-04-22,2008-04-30,"ET","ET19",3,4,37,38
"20","UCL","2011-2012","R4","Bayern München","Real Madrid","Bayern München",2012-04-17,2012-04-25,"ET","ET20",6,4,39,40
"21","UCL","1994-1995","R8","Bayern München","IFK Göteborg","Bayern München",1995-03-01,1995-03-15,"AGR","AGR1",2,2,41,42
"22","UCL","1997-1998","R8","AS Monaco","Manchester United","AS Monaco",1998-03-04,1998-03-18,"AGR","AGR2",1,1,43,44
"23","UCL","2000-2001","R8","Arsenal FC","Valencia CF","Valencia CF",2001-04-04,2001-04-17,"AGR","AGR3",2,2,45,46
"24","UCL","2002-2003","R8","Inter","Valencia CF","Inter",2003-04-09,2003-04-22,"AGR","AGR4",2,2,47,48
"25","UCL","2001-2002","R4","Manchester United","Bayer Leverkusen","Bayer Leverkusen",2002-04-24,2002-04-30,"AGR","AGR5",3,3,49,50
"26","UCL","2002-2003","R4","AC Milan","Inter","AC Milan",2003-05-07,2003-05-13,"AGR","AGR6",1,1,51,52
"27","UCL","2003-2004","R8","Real Madrid","AS Monaco","AS Monaco",2004-03-24,2004-04-06,"AGR","AGR7",5,5,53,54
"28","UCL","2005-2006","R8","Inter","Villarreal CF","Villarreal CF",2006-03-29,2006-04-04,"AGR","AGR8",2,2,55,56
"29","UCL","2004-2005","R4","AC Milan","PSV Eindhoven","AC Milan",2005-04-26,2005-05-04,"AGR","AGR9",3,3,57,58
"30","UCL","2008-2009","R16","Atlético Madrid","FC Porto","FC Porto",2009-02-24,2009-03-11,"AGR","AGR10",2,2,59,60
"31","UCL","2009-2010","R16","Bayern München","ACF Fiorentina","Bayern München",2010-02-17,2010-03-09,"AGR","AGR11",4,4,61,62
"32","UCL","2010-2011","R16","Inter","Bayern München","Inter",2011-02-23,2011-03-15,"AGR","AGR12",3,3,63,64
"33","UCL","2011-2012","R16","Olympique Marseille","Inter","Olympique Marseille",2012-02-22,2012-03-13,"AGR","AGR13",2,2,65,66
"34","UCL","2012-2013","R16","Arsenal FC","Bayern München","Bayern München",2013-02-19,2013-03-13,"AGR","AGR14",3,3,67,68
"35","UCL","2014-2015","R16","Arsenal FC","AS Monaco","AS Monaco",2015-02-25,2015-03-17,"AGR","AGR15",3,3,69,70
"36","UCL","2016-2017","R16","Manchester City","AS Monaco","AS Monaco",2017-02-21,2017-03-15,"AGR","AGR16",6,6,71,72
"37","UCL","2017-2018","R16","Shakhtar Donetsk","AS Roma","AS Roma",2018-02-21,2018-03-13,"AGR","AGR17",2,2,73,74
"38","UCL","2018-2019","R16","Manchester United","Paris Saint-Germain","Manchester United",2019-02-12,2019-03-06,"AGR","AGR18",3,3,75,76
"39","UCL","2009-2010","R8","Bayern München","Manchester United","Bayern München",2010-03-30,2010-04-07,"AGR","AGR19",4,4,77,78
"40","UCL","2012-2013","R8","Paris Saint-Germain","FC Barcelona","FC Barcelona",2013-04-02,2013-04-10,"AGR","AGR20",3,3,79,80
"41","UCL","2013-2014","R8","Paris Saint-Germain","Chelsea FC","Chelsea FC",2014-04-02,2014-04-08,"AGR","AGR21",3,3,81,82
"42","UCL","2017-2018","R8","FC Barcelona","AS Roma","AS Roma",2018-04-04,2018-04-10,"AGR","AGR22",4,4,83,84
"43","UCL","2018-2019","R8","Tottenham Hotspur","Manchester City","Tottenham Hotspur",2019-04-09,2019-04-17,"AGR","AGR23",4,4,85,86
"44","UCL","2008-2009","R4","FC Barcelona","Chelsea FC","FC Barcelona",2009-04-28,2009-05-06,"AGR","AGR24",1,1,87,88
"45","UCL","2015-2016","R4","Atlético Madrid","Bayern München","Atlético Madrid",2016-04-27,2016-05-03,"AGR","AGR25",2,2,89,90
"46","UCL","2018-2019","R4","Tottenham Hotspur","AFC Ajax","Tottenham Hotspur",2019-04-30,2019-05-08,"AGR","AGR26",3,3,91,92
"47","UCL","1994-1995","R8","FC Barcelona","Paris Saint-Germain","Paris Saint-Germain",1995-03-01,1995-03-15,"G","G1",2,3,101,102
"48","UCL","1994-1995","R8","Hajduk Split","AFC Ajax","AFC Ajax",1995-03-01,1995-03-15,"G","G2",0,3,103,104
"49","UCL","1994-1995","R8","AC Milan","SL Benfica","AC Milan",1995-03-01,1995-03-15,"G","G3",2,0,105,106
"50","UCL","1995-1996","R8","Borussia Dortmund","AFC Ajax","AFC Ajax",1996-03-05,1996-03-20,"G","G4",0,3,107,108
