"","date","country","team","rating"
"1","2000-05-28","Greece","Olympiakos Piräus",1524
"2","2000-05-21","Greece","Olympiakos Piräus",1521
"3","2000-05-14","Greece","Olympiakos Piräus",1518
"4","2000-03-19","Greece","Olympiakos Piräus",1514
"5","2000-09-27","Greece","Olympiakos Piräus",1514
"6","2000-05-08","Greece","Olympiakos Piräus",1513
"7","1999-11-15","Greece","Olympiakos Piräus",1511
"8","2000-01-09","Greece","Olympiakos Piräus",1511
"9","2000-03-26","Greece","Olympiakos Piräus",1511
"10","2000-05-03","Greece","Olympiakos Piräus",1510
"11","2000-09-24","Greece","Olympiakos Piräus",1510
"12","2000-03-12","Greece","Olympiakos Piräus",1509
"13","1997-02-15","Portugal","FC Porto",1509
"14","1995-12-24","Netherlands","AFC Ajax",1508
"15","1999-12-29","Greece","Olympiakos Piräus",1507
"16","1995-12-20","Netherlands","AFC Ajax",1506
"17","2000-04-23","Greece","Olympiakos Piräus",1506
"18","1997-02-08","Portugal","FC Porto",1506
"19","2000-09-20","Greece","Olympiakos Piräus",1505
"20","1995-12-17","Netherlands","AFC Ajax",1504
"21","2000-04-16","Greece","Olympiakos Piräus",1503
"22","1997-01-31","Portugal","FC Porto",1503
"23","1995-11-19","Netherlands","AFC Ajax",1502
"24","1999-12-22","Greece","Olympiakos Piräus",1502
"25","2000-03-04","Greece","Olympiakos Piräus",1502
"26","1995-10-28","Netherlands","AFC Ajax",1501
"27","1998-05-13","Greece","Olympiakos Piräus",1501
"28","1999-11-08","Greece","Olympiakos Piräus",1501
"29","2000-04-12","Greece","Olympiakos Piräus",1501
"30","2000-10-01","Greece","Olympiakos Piräus",1501
"31","1996-02-11","Portugal","FC Porto",1501
"32","1999-12-12","Greece","Olympiakos Piräus",1500
"33","2000-02-27","Greece","Olympiakos Piräus",1500
"34","2000-09-16","Greece","Olympiakos Piräus",1500
"35","1996-03-17","Portugal","FC Porto",1500
"36","1997-01-27","Portugal","FC Porto",1500
"37","1995-11-08","Netherlands","AFC Ajax",1499
"38","1998-05-10","Greece","Olympiakos Piräus",1499
"39","2000-02-20","Greece","Olympiakos Piräus",1498
"40","1996-02-04","Portugal","FC Porto",1498
"41","1996-03-08","Portugal","FC Porto",1498
"42","1997-01-19","Portugal","FC Porto",1498
"43","1998-05-04","Greece","Olympiakos Piräus",1497
"44","1999-12-05","Greece","Olympiakos Piräus",1497
"45","2000-04-03","Greece","Olympiakos Piräus",1497
"46","2000-09-12","Greece","Olympiakos Piräus",1497
"47","2000-02-13","Greece","Olympiakos Piräus",1496
"48","1996-03-03","Portugal","FC Porto",1496
"49","1995-11-05","Netherlands","AFC Ajax",1495
"50","1998-04-12","Greece","Olympiakos Piräus",1495
"51","1999-10-23","Greece","Olympiakos Piräus",1495
"52","2000-11-04","Greece","Olympiakos Piräus",1495
"53","1995-10-25","Netherlands","AFC Ajax",1494
"54","1996-01-27","Portugal","FC Porto",1494
"55","1999-11-29","Greece","Olympiakos Piräus",1493
"56","2000-02-07","Greece","Olympiakos Piräus",1493
"57","1997-01-11","Portugal","FC Porto",1493
"58","1995-10-22","Netherlands","AFC Ajax",1492
"59","1998-04-04","Greece","Olympiakos Piräus",1492
"60","1999-10-15","Greece","Olympiakos Piräus",1492
"61","1996-01-20","Portugal","FC Porto",1492
"62","1996-02-16","Portugal","FC Porto",1492
"63","2000-01-29","Greece","Olympiakos Piräus",1491
"64","1999-11-21","Greece","Olympiakos Piräus",1490
"65","1999-10-03","Greece","Olympiakos Piräus",1489
"66","2000-01-23","Greece","Olympiakos Piräus",1489
"67","1995-12-30","Portugal","FC Porto",1489
"68","1996-01-13","Portugal","FC Porto",1489
"69","1995-12-23","Portugal","FC Porto",1486
"70","1995-10-15","Netherlands","AFC Ajax",1485
"71","1999-05-23","Greece","Olympiakos Piräus",1485
"72","1999-09-25","Greece","Olympiakos Piräus",1485
"73","2000-01-16","Greece","Olympiakos Piräus",1485
"74","2000-10-29","Greece","Olympiakos Piräus",1485
"75","2001-04-30","Greece","Olympiakos Piräus",1485
"76","1999-05-19","Greece","Olympiakos Piräus",1483
"77","1999-09-19","Greece","Olympiakos Piräus",1483
"78","2000-10-25","Greece","Olympiakos Piräus",1483
"79","1997-01-04","Portugal","FC Porto",1482
"80","2001-04-22","Greece","Olympiakos Piräus",1481
