"","TEAM","M","POINTS","W","D","L","FTGF","FTGA","ETGF","ETGA","EGM","FTGD","ETGD"
"1","Bayern München",80,140,40,20,20,152,95,2,4,4,57,-2
"2","FC Barcelona",80,139,39,22,19,135,87,2,1,2,48,1
"3","Real Madrid",84,139,41,16,27,144,99,6,0,2,45,6
"4","Manchester United",59,95,26,17,16,88,64,0,0,0,24,0
"5","Juventus",54,87,23,18,13,82,56,1,2,2,26,-1
"6","Chelsea FC",52,68,16,20,16,67,64,4,4,5,3,0
"7","Liverpool FC",33,66,19,9,5,64,33,1,2,2,31,-1
"8","AC Milan",38,51,13,12,13,46,46,0,0,1,0,0
"9","Atlético Madrid",30,46,11,13,6,32,25,1,5,3,7,-4
"10","Arsenal FC",36,41,11,8,17,43,56,0,0,1,-13,0
"11","Borussia Dortmund",28,35,10,5,13,33,36,1,0,1,-3,1
"12","Paris Saint-Germain",26,34,9,7,10,37,40,1,1,1,-3,0
"13","FC Porto",30,33,8,9,13,28,48,1,0,2,-20,1
"14","AFC Ajax",21,31,8,7,6,32,23,2,1,1,9,1
"15","Inter",26,31,9,4,13,22,33,0,0,1,-11,0
"16","AS Monaco",18,25,7,4,7,31,32,0,0,0,-1,0
"17","AS Roma",20,24,8,0,12,25,40,0,1,2,-15,-1
"18","Manchester City",20,24,7,3,10,34,30,0,0,0,4,0
"19","Valencia CF",17,20,5,5,7,24,21,0,0,0,3,0
"20","Olympique Lyon",22,18,3,9,10,17,34,0,0,2,-17,0
"21","FC Schalke 04",18,17,5,2,11,24,42,0,0,1,-18,0
"22","Tottenham Hotspur",12,17,5,2,5,15,16,0,0,0,-1,0
"23","SL Benfica",14,15,4,3,7,11,18,0,0,0,-7,0
"24","Sevilla FC",10,12,3,3,4,12,14,0,0,1,-2,0
"25","Galatasaray",8,11,3,2,3,11,16,0,0,0,-5,0
"26","Panathinaikos",8,11,3,2,3,8,9,0,0,0,-1,0
"27","Shakhtar Donetsk",10,11,3,2,5,11,22,0,0,0,-11,0
"28","Bayer Leverkusen",14,10,2,4,8,14,31,0,0,1,-17,0
"29","Girondins Bordeaux",4,9,3,0,1,5,4,0,0,0,1,0
"30","VfL Wolfsburg",4,9,3,0,1,6,5,0,0,0,1,0
"31","Villarreal CF",8,9,2,3,3,6,9,0,0,0,-3,0
"32","Deportivo La Coruña",8,7,2,1,5,9,13,0,0,0,-4,0
"33","Dinamo Kiev",8,7,1,4,3,9,13,0,0,0,-4,0
"34","FC Basel",6,7,2,1,3,4,17,0,0,0,-13,0
"35","FC Nantes",4,7,2,1,1,7,6,0,0,0,1,0
"36","PSV Eindhoven",8,7,1,4,3,5,9,0,0,2,-4,0
"37","Fenerbahçe",4,6,2,0,2,7,8,0,0,1,-1,0
"38","Zenit St. Petersburg",6,6,2,0,4,8,12,0,0,0,-4,0
"39","CSKA Moskva",6,5,1,2,3,5,9,0,0,0,-4,0
"40","Olympiakos Piräus",8,5,1,2,5,5,12,0,0,0,-7,0
"41","Leeds United",4,4,1,1,2,3,5,0,0,0,-2,0
"42","Leicester City",4,4,1,1,2,4,4,0,0,0,0,0
"43","Málaga CF",4,4,1,1,2,4,4,0,0,0,0,0
"44","Olympique Marseille",6,4,1,1,4,3,8,0,0,0,-5,0
"45","ACF Fiorentina",2,3,1,0,1,4,4,0,0,0,0,0
"46","APOEL Nikosia",4,3,1,0,3,3,9,0,0,1,-6,0
"47","Lazio Roma",2,3,1,0,1,3,5,0,0,0,-2,0
"48","SSC Napoli",4,3,1,0,3,6,10,0,1,1,-4,-1
"49","IFK Göteborg",2,2,0,2,0,2,2,0,0,0,0,0
"50","FC København",2,1,0,1,1,0,2,0,0,0,-2,0
"51","Hajduk Split",2,1,0,1,1,0,3,0,0,0,-3,0
"52","Legia Warszawa",2,1,0,1,1,0,3,0,0,0,-3,0
"53","Rosenborg BK",2,1,0,1,1,1,3,0,0,0,-2,0
"54","Spartak Moskva",2,1,0,1,1,2,4,0,0,0,-2,0
"55","VfB Stuttgart",2,1,0,1,1,1,5,0,0,0,-4,0
"56","1. FC Kaiserslautern",2,0,0,0,2,0,6,0,0,0,-6,0
"57","AJ Auxerre",2,0,0,0,2,1,4,0,0,0,-3,0
"58","Beşiktaş",2,0,0,0,2,1,8,0,0,0,-7,0
"59","Celtic FC",4,0,0,0,4,2,9,0,0,0,-7,0
"60","KAA Gent",2,0,0,0,2,2,4,0,0,0,-2,0
"61","Sporting CP",2,0,0,0,2,1,12,0,0,0,-11,0
