"","COMP","SEASON","ROUND","LEG","HOMETEAM","AWAYTEAM","RESULT","DATE"
"1","UCL","2007-2008","achtelfinale","1st(1st leg)","FC Schalke 04","FC Porto","1:0 (1:0)","1st(1st leg): 19/02/2008 19:45"
"2","UCL","2007-2008","achtelfinale","2nd (2nd leg)","FC Porto","FC Schalke 04","1:4 (0:0, 1:0, 1:0) pso","2nd (2nd leg): 05/03/2008 19:45"
"3","UCL","2007-2008","achtelfinale","1st(1st leg)","Liverpool FC","Inter","2:0 (0:0)","1st(1st leg): 19/02/2008 19:45"
"4","UCL","2007-2008","achtelfinale","2nd (2nd leg)","Inter","Liverpool FC","0:1 (0:0)","2nd (2nd leg): 11/03/2008 19:45"
"5","UCL","2007-2008","achtelfinale","1st(1st leg)","AS Roma","Real Madrid","2:1 (1:1)","1st(1st leg): 19/02/2008 19:45"
"6","UCL","2007-2008","achtelfinale","2nd (2nd leg)","Real Madrid","AS Roma","1:2 (0:0)","2nd (2nd leg): 05/03/2008 19:45"
"7","UCL","2007-2008","achtelfinale","1st(1st leg)","Olympiakos Piräus","Chelsea FC","0:0 (0:0)","1st(1st leg): 19/02/2008 19:45"
"8","UCL","2007-2008","achtelfinale","2nd (2nd leg)","Chelsea FC","Olympiakos Piräus","3:0 (2:0)","2nd (2nd leg): 05/03/2008 19:45"
"9","UCL","2007-2008","achtelfinale","1st(1st leg)","Celtic FC","FC Barcelona","2:3 (2:1)","1st(1st leg): 20/02/2008 19:45"
"10","UCL","2007-2008","achtelfinale","2nd (2nd leg)","FC Barcelona","Celtic FC","1:0 (1:0)","2nd (2nd leg): 04/03/2008 19:45"
"11","UCL","2007-2008","achtelfinale","1st(1st leg)","Olympique Lyon","Manchester United","1:1 (0:0)","1st(1st leg): 20/02/2008 19:45"
"12","UCL","2007-2008","achtelfinale","2nd (2nd leg)","Manchester United","Olympique Lyon","1:0 (1:0)","2nd (2nd leg): 04/03/2008 19:45"
"13","UCL","2007-2008","achtelfinale","1st(1st leg)","Arsenal FC","AC Milan","0:0 (0:0)","1st(1st leg): 20/02/2008 19:45"
"14","UCL","2007-2008","achtelfinale","2nd (2nd leg)","AC Milan","Arsenal FC","0:2 (0:0)","2nd (2nd leg): 04/03/2008 19:45"
"15","UCL","2007-2008","achtelfinale","1st(1st leg)","Fenerbahçe","Sevilla FC","3:2 (1:1)","1st(1st leg): 20/02/2008 19:45"
"16","UCL","2007-2008","achtelfinale","2nd (2nd leg)","Sevilla FC","Fenerbahçe","2:3 (3:1, 3:2, 3:2) pso","2nd (2nd leg): 04/03/2008 19:45"
"17","UCL","2008-2009","achtelfinale","1st(1st leg)","Atlético Madrid","FC Porto","2:2 (2:1)","1st(1st leg): 24/02/2009 19:45"
"18","UCL","2008-2009","achtelfinale","2nd (2nd leg)","FC Porto","Atlético Madrid","0:0 (0:0)","2nd (2nd leg): 11/03/2009 19:45"
"19","UCL","2008-2009","achtelfinale","1st(1st leg)","Olympique Lyon","FC Barcelona","1:1 (1:0)","1st(1st leg): 24/02/2009 19:45"
"20","UCL","2008-2009","achtelfinale","2nd (2nd leg)","FC Barcelona","Olympique Lyon","5:2 (4:1)","2nd (2nd leg): 11/03/2009 19:45"
"21","UCL","2008-2009","achtelfinale","1st(1st leg)","Arsenal FC","AS Roma","1:0 (1:0)","1st(1st leg): 24/02/2009 19:45"
"22","UCL","2008-2009","achtelfinale","2nd (2nd leg)","AS Roma","Arsenal FC","6:7 (1:0, 1:0, 1:0) pso","2nd (2nd leg): 11/03/2009 19:45"
"23","UCL","2008-2009","achtelfinale","1st(1st leg)","Inter","Manchester United","0:0 (0:0)","1st(1st leg): 24/02/2009 19:45"
"24","UCL","2008-2009","achtelfinale","2nd (2nd leg)","Manchester United","Inter","2:0 (1:0)","2nd (2nd leg): 11/03/2009 19:45"
"25","UCL","2008-2009","achtelfinale","1st(1st leg)","Chelsea FC","Juventus","1:0 (1:0)","1st(1st leg): 25/02/2009 19:45"
"26","UCL","2008-2009","achtelfinale","2nd (2nd leg)","Juventus","Chelsea FC","2:2 (1:1)","2nd (2nd leg): 10/03/2009 19:45"
"27","UCL","2008-2009","achtelfinale","1st(1st leg)","Villarreal CF","Panathinaikos","1:1 (0:0)","1st(1st leg): 25/02/2009 19:45"
"28","UCL","2008-2009","achtelfinale","2nd (2nd leg)","Panathinaikos","Villarreal CF","1:2 (0:0)","2nd (2nd leg): 10/03/2009 19:45"
"29","UCL","2008-2009","achtelfinale","1st(1st leg)","Sporting CP","Bayern München","0:5 (0:1)","1st(1st leg): 25/02/2009 19:45"
"30","UCL","2008-2009","achtelfinale","2nd (2nd leg)","Bayern München","Sporting CP","7:1 (4:1)","2nd (2nd leg): 10/03/2009 19:45"
"31","UCL","2008-2009","achtelfinale","1st(1st leg)","Real Madrid","Liverpool FC","0:1 (0:0)","1st(1st leg): 25/02/2009 19:45"
"32","UCL","2008-2009","achtelfinale","2nd (2nd leg)","Liverpool FC","Real Madrid","4:0 (2:0)","2nd (2nd leg): 10/03/2009 19:45"
"33","UCL","2009-2010","achtelfinale","1st(1st leg)","Olympique Lyon","Real Madrid","1:0 (0:0)","1st(1st leg): 16/02/2010 19:45"
"34","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Real Madrid","Olympique Lyon","1:1 (1:0)","2nd (2nd leg): 10/03/2010 19:45"
"35","UCL","2009-2010","achtelfinale","1st(1st leg)","AC Milan","Manchester United","2:3 (1:1)","1st(1st leg): 16/02/2010 19:45"
"36","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Manchester United","AC Milan","4:0 (1:0)","2nd (2nd leg): 10/03/2010 19:45"
"37","UCL","2009-2010","achtelfinale","1st(1st leg)","Bayern München","ACF Fiorentina","2:1 (1:0)","1st(1st leg): 17/02/2010 19:45"
"38","UCL","2009-2010","achtelfinale","2nd (2nd leg)","ACF Fiorentina","Bayern München","3:2 (1:0)","2nd (2nd leg): 09/03/2010 19:45"
"39","UCL","2009-2010","achtelfinale","1st(1st leg)","FC Porto","Arsenal FC","2:1 (1:1)","1st(1st leg): 17/02/2010 19:45"
"40","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Arsenal FC","FC Porto","5:0 (2:0)","2nd (2nd leg): 09/03/2010 19:45"
"41","UCL","2009-2010","achtelfinale","1st(1st leg)","VfB Stuttgart","FC Barcelona","1:1 (1:0)","1st(1st leg): 23/02/2010 19:45"
"42","UCL","2009-2010","achtelfinale","2nd (2nd leg)","FC Barcelona","VfB Stuttgart","4:0 (2:0)","2nd (2nd leg): 17/03/2010 19:45"
"43","UCL","2009-2010","achtelfinale","1st(1st leg)","Olympiakos Piräus","Girondins Bordeaux","0:1 (0:1)","1st(1st leg): 23/02/2010 19:45"
"44","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Girondins Bordeaux","Olympiakos Piräus","2:1 (1:0)","2nd (2nd leg): 17/03/2010 19:45"
"45","UCL","2009-2010","achtelfinale","1st(1st leg)","CSKA Moskva","Sevilla FC","1:1 (0:1)","1st(1st leg): 24/02/2010 17:30"
"46","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Sevilla FC","CSKA Moskva","1:2 (1:1)","2nd (2nd leg): 16/03/2010 19:45"
"47","UCL","2009-2010","achtelfinale","1st(1st leg)","Inter","Chelsea FC","2:1 (1:0)","1st(1st leg): 24/02/2010 19:45"
"48","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Chelsea FC","Inter","0:1 (0:0)","2nd (2nd leg): 16/03/2010 19:45"
"49","UCL","2010-2011","achtelfinale","1st(1st leg)","AC Milan","Tottenham Hotspur","0:1 (0:0)","1st(1st leg): 15/02/2011 19:45"
"50","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Tottenham Hotspur","AC Milan","0:0 (0:0)","2nd (2nd leg): 09/03/2011 19:45"
"51","UCL","2010-2011","achtelfinale","1st(1st leg)","Valencia CF","FC Schalke 04","1:1 (1:0)","1st(1st leg): 15/02/2011 19:45"
"52","UCL","2010-2011","achtelfinale","2nd (2nd leg)","FC Schalke 04","Valencia CF","3:1 (1:1)","2nd (2nd leg): 09/03/2011 19:45"
"53","UCL","2010-2011","achtelfinale","1st(1st leg)","AS Roma","Shakhtar Donetsk","2:3 (1:3)","1st(1st leg): 16/02/2011 19:45"
"54","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Shakhtar Donetsk","AS Roma","3:0 (1:0)","2nd (2nd leg): 08/03/2011 19:45"
"55","UCL","2010-2011","achtelfinale","1st(1st leg)","Arsenal FC","FC Barcelona","2:1 (0:1)","1st(1st leg): 16/02/2011 19:45"
"56","UCL","2010-2011","achtelfinale","2nd (2nd leg)","FC Barcelona","Arsenal FC","3:1 (1:0)","2nd (2nd leg): 08/03/2011 19:45"
"57","UCL","2010-2011","achtelfinale","1st(1st leg)","Olympique Lyon","Real Madrid","1:1 (0:0)","1st(1st leg): 22/02/2011 19:45"
"58","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Real Madrid","Olympique Lyon","3:0 (1:0)","2nd (2nd leg): 16/03/2011 19:45"
"59","UCL","2010-2011","achtelfinale","1st(1st leg)","FC København","Chelsea FC","0:2 (0:1)","1st(1st leg): 22/02/2011 19:45"
"60","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Chelsea FC","FC København","0:0 (0:0)","2nd (2nd leg): 16/03/2011 19:45"
"61","UCL","2010-2011","achtelfinale","1st(1st leg)","Inter","Bayern München","0:1 (0:0)","1st(1st leg): 23/02/2011 19:45"
"62","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Bayern München","Inter","2:3 (2:1)","2nd (2nd leg): 15/03/2011 19:45"
"63","UCL","2010-2011","achtelfinale","1st(1st leg)","Olympique Marseille","Manchester United","0:0 (0:0)","1st(1st leg): 23/02/2011 19:45"
"64","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Manchester United","Olympique Marseille","2:1 (1:0)","2nd (2nd leg): 15/03/2011 19:45"
"65","UCL","2011-2012","achtelfinale","1st(1st leg)","Olympique Lyon","APOEL Nikosia","1:0 (0:0)","1st(1st leg): 14/02/2012 19:45"
"66","UCL","2011-2012","achtelfinale","2nd (2nd leg)","APOEL Nikosia","Olympique Lyon","4:3 (1:0, 1:0, 1:0) pso","2nd (2nd leg): 07/03/2012 19:45"
"67","UCL","2011-2012","achtelfinale","1st(1st leg)","Bayer Leverkusen","FC Barcelona","1:3 (0:1)","1st(1st leg): 14/02/2012 19:45"
"68","UCL","2011-2012","achtelfinale","2nd (2nd leg)","FC Barcelona","Bayer Leverkusen","7:1 (2:0)","2nd (2nd leg): 07/03/2012 19:45"
"69","UCL","2011-2012","achtelfinale","1st(1st leg)","Zenit St. Petersburg","SL Benfica","3:2 (1:1)","1st(1st leg): 15/02/2012 17:00"
"70","UCL","2011-2012","achtelfinale","2nd (2nd leg)","SL Benfica","Zenit St. Petersburg","2:0 (1:0)","2nd (2nd leg): 06/03/2012 19:45"
"71","UCL","2011-2012","achtelfinale","1st(1st leg)","AC Milan","Arsenal FC","4:0 (2:0)","1st(1st leg): 15/02/2012 19:45"
"72","UCL","2011-2012","achtelfinale","2nd (2nd leg)","Arsenal FC","AC Milan","3:0 (3:0)","2nd (2nd leg): 06/03/2012 19:45"
"73","UCL","2011-2012","achtelfinale","1st(1st leg)","CSKA Moskva","Real Madrid","1:1 (0:1)","1st(1st leg): 21/02/2012 17:00"
"74","UCL","2011-2012","achtelfinale","2nd (2nd leg)","Real Madrid","CSKA Moskva","4:1 (1:0)","2nd (2nd leg): 14/03/2012 19:45"
"75","UCL","2011-2012","achtelfinale","1st(1st leg)","SSC Napoli","Chelsea FC","3:1 (2:1)","1st(1st leg): 21/02/2012 19:45"
"76","UCL","2011-2012","achtelfinale","2nd (2nd leg)","Chelsea FC","SSC Napoli","4:1 (1:0, 3:1) aet","2nd (2nd leg): 14/03/2012 19:45"
"77","UCL","2011-2012","achtelfinale","1st(1st leg)","FC Basel","Bayern München","1:0 (0:0)","1st(1st leg): 22/02/2012 19:45"
"78","UCL","2011-2012","achtelfinale","2nd (2nd leg)","Bayern München","FC Basel","7:0 (3:0)","2nd (2nd leg): 13/03/2012 19:45"
"79","UCL","2011-2012","achtelfinale","1st(1st leg)","Olympique Marseille","Inter","1:0 (0:0)","1st(1st leg): 22/02/2012 19:45"
"80","UCL","2011-2012","achtelfinale","2nd (2nd leg)","Inter","Olympique Marseille","2:1 (0:0)","2nd (2nd leg): 13/03/2012 19:45"
"81","UCL","2012-2013","achtelfinale","1st(1st leg)","Celtic FC","Juventus","0:3 (0:1)","1st(1st leg): 12/02/2013 19:45"
"82","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Juventus","Celtic FC","2:0 (1:0)","2nd (2nd leg): 06/03/2013 19:45"
"83","UCL","2012-2013","achtelfinale","1st(1st leg)","Valencia CF","Paris Saint-Germain","1:2 (0:2)","1st(1st leg): 12/02/2013 19:45"
"84","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Paris Saint-Germain","Valencia CF","1:1 (0:0)","2nd (2nd leg): 06/03/2013 19:45"
"85","UCL","2012-2013","achtelfinale","1st(1st leg)","Shakhtar Donetsk","Borussia Dortmund","2:2 (1:1)","1st(1st leg): 13/02/2013 19:45"
"86","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Borussia Dortmund","Shakhtar Donetsk","3:0 (2:0)","2nd (2nd leg): 05/03/2013 19:45"
"87","UCL","2012-2013","achtelfinale","1st(1st leg)","Real Madrid","Manchester United","1:1 (1:1)","1st(1st leg): 13/02/2013 19:45"
"88","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Manchester United","Real Madrid","1:2 (0:0)","2nd (2nd leg): 05/03/2013 19:45"
"89","UCL","2012-2013","achtelfinale","1st(1st leg)","Arsenal FC","Bayern München","1:3 (0:2)","1st(1st leg): 19/02/2013 19:45"
"90","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Bayern München","Arsenal FC","0:2 (0:1)","2nd (2nd leg): 13/03/2013 19:45"
"91","UCL","2012-2013","achtelfinale","1st(1st leg)","FC Porto","Málaga CF","1:0 (0:0)","1st(1st leg): 19/02/2013 19:45"
"92","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Málaga CF","FC Porto","2:0 (1:0)","2nd (2nd leg): 13/03/2013 19:45"
"93","UCL","2012-2013","achtelfinale","1st(1st leg)","Galatasaray","FC Schalke 04","1:1 (1:1)","1st(1st leg): 20/02/2013 19:45"
"94","UCL","2012-2013","achtelfinale","2nd (2nd leg)","FC Schalke 04","Galatasaray","2:3 (1:2)","2nd (2nd leg): 12/03/2013 19:45"
"95","UCL","2012-2013","achtelfinale","1st(1st leg)","AC Milan","FC Barcelona","2:0 (0:0)","1st(1st leg): 20/02/2013 19:45"
"96","UCL","2012-2013","achtelfinale","2nd (2nd leg)","FC Barcelona","AC Milan","4:0 (2:0)","2nd (2nd leg): 12/03/2013 19:45"
"97","UCL","2013-2014","achtelfinale","1st(1st leg)","Manchester City","FC Barcelona","0:2 (0:0)","1st(1st leg): 18/02/2014 19:45"
"98","UCL","2013-2014","achtelfinale","2nd (2nd leg)","FC Barcelona","Manchester City","2:1 (0:0)","2nd (2nd leg): 12/03/2014 19:45"
"99","UCL","2013-2014","achtelfinale","1st(1st leg)","Bayer Leverkusen","Paris Saint-Germain","0:4 (0:3)","1st(1st leg): 18/02/2014 19:45"
"100","UCL","2013-2014","achtelfinale","2nd (2nd leg)","Paris Saint-Germain","Bayer Leverkusen","2:1 (1:1)","2nd (2nd leg): 12/03/2014 19:45"
"101","UCL","2013-2014","achtelfinale","1st(1st leg)","AC Milan","Atlético Madrid","0:1 (0:0)","1st(1st leg): 19/02/2014 19:45"
